,Headline,Body ID,Stance
0,Atheism,101,AGAINST
1,Atheism,102,AGAINST
2,Atheism,103,AGAINST
3,Atheism,104,AGAINST
4,Atheism,105,AGAINST
5,Atheism,106,AGAINST
6,Atheism,107,AGAINST
7,Atheism,108,FAVOR
8,Atheism,109,NONE
9,Atheism,110,NONE
10,Atheism,111,FAVOR
11,Atheism,112,AGAINST
12,Atheism,113,AGAINST
13,Atheism,114,AGAINST
14,Atheism,115,AGAINST
15,Atheism,116,AGAINST
16,Atheism,117,NONE
17,Atheism,118,AGAINST
18,Atheism,119,FAVOR
19,Atheism,120,AGAINST
20,Atheism,121,AGAINST
21,Atheism,122,FAVOR
22,Atheism,123,NONE
23,Atheism,124,AGAINST
24,Atheism,125,AGAINST
25,Atheism,126,FAVOR
26,Atheism,127,AGAINST
27,Atheism,128,AGAINST
28,Atheism,129,AGAINST
29,Atheism,130,NONE
30,Atheism,131,AGAINST
31,Atheism,132,AGAINST
32,Atheism,133,AGAINST
33,Atheism,134,FAVOR
34,Atheism,135,NONE
35,Atheism,136,AGAINST
36,Atheism,137,NONE
37,Atheism,138,AGAINST
38,Atheism,139,AGAINST
39,Atheism,140,AGAINST
40,Atheism,141,AGAINST
41,Atheism,142,AGAINST
42,Atheism,143,AGAINST
43,Atheism,144,AGAINST
44,Atheism,145,AGAINST
45,Atheism,146,FAVOR
46,Atheism,147,FAVOR
47,Atheism,148,NONE
48,Atheism,149,AGAINST
49,Atheism,150,FAVOR
50,Atheism,151,FAVOR
51,Atheism,152,AGAINST
52,Atheism,153,FAVOR
53,Atheism,154,AGAINST
54,Atheism,155,AGAINST
55,Atheism,156,NONE
56,Atheism,157,FAVOR
57,Atheism,158,FAVOR
58,Atheism,159,NONE
59,Atheism,160,FAVOR
60,Atheism,161,AGAINST
61,Atheism,162,NONE
62,Atheism,163,FAVOR
63,Atheism,164,NONE
64,Atheism,165,AGAINST
65,Atheism,166,AGAINST
66,Atheism,167,AGAINST
67,Atheism,168,AGAINST
68,Atheism,169,AGAINST
69,Atheism,170,AGAINST
70,Atheism,171,FAVOR
71,Atheism,172,AGAINST
72,Atheism,173,AGAINST
73,Atheism,174,AGAINST
74,Atheism,175,FAVOR
75,Atheism,176,AGAINST
76,Atheism,177,NONE
77,Atheism,178,FAVOR
78,Atheism,179,FAVOR
79,Atheism,180,NONE
80,Atheism,181,AGAINST
81,Atheism,182,AGAINST
82,Atheism,183,FAVOR
83,Atheism,184,NONE
84,Atheism,185,AGAINST
85,Atheism,186,NONE
86,Atheism,187,NONE
87,Atheism,188,AGAINST
88,Atheism,189,AGAINST
89,Atheism,190,AGAINST
90,Atheism,191,NONE
91,Atheism,192,AGAINST
92,Atheism,193,AGAINST
93,Atheism,194,AGAINST
94,Atheism,195,AGAINST
95,Atheism,196,AGAINST
96,Atheism,197,FAVOR
97,Atheism,198,AGAINST
98,Atheism,199,AGAINST
99,Atheism,200,FAVOR
100,Atheism,201,AGAINST
101,Atheism,202,FAVOR
102,Atheism,203,FAVOR
103,Atheism,204,FAVOR
104,Atheism,205,AGAINST
105,Atheism,206,AGAINST
106,Atheism,207,AGAINST
107,Atheism,208,AGAINST
108,Atheism,209,FAVOR
109,Atheism,210,FAVOR
110,Atheism,211,AGAINST
111,Atheism,212,NONE
112,Atheism,213,NONE
113,Atheism,214,AGAINST
114,Atheism,215,AGAINST
115,Atheism,216,AGAINST
116,Atheism,217,AGAINST
117,Atheism,218,AGAINST
118,Atheism,219,FAVOR
119,Atheism,220,FAVOR
120,Atheism,221,AGAINST
121,Atheism,222,AGAINST
122,Atheism,223,AGAINST
123,Atheism,224,AGAINST
124,Atheism,225,NONE
125,Atheism,226,FAVOR
126,Atheism,227,AGAINST
127,Atheism,228,NONE
128,Atheism,229,AGAINST
129,Atheism,230,FAVOR
130,Atheism,231,AGAINST
131,Atheism,232,AGAINST
132,Atheism,233,AGAINST
133,Atheism,234,AGAINST
134,Atheism,235,AGAINST
135,Atheism,236,AGAINST
136,Atheism,237,NONE
137,Atheism,238,AGAINST
138,Atheism,239,AGAINST
139,Atheism,240,AGAINST
140,Atheism,241,AGAINST
141,Atheism,242,FAVOR
142,Atheism,243,AGAINST
143,Atheism,244,FAVOR
144,Atheism,245,FAVOR
145,Atheism,246,FAVOR
146,Atheism,247,AGAINST
147,Atheism,248,NONE
148,Atheism,249,AGAINST
149,Atheism,250,AGAINST
150,Atheism,251,NONE
151,Atheism,252,AGAINST
152,Atheism,253,NONE
153,Atheism,254,FAVOR
154,Atheism,255,AGAINST
155,Atheism,256,AGAINST
156,Atheism,257,NONE
157,Atheism,258,AGAINST
158,Atheism,259,FAVOR
159,Atheism,260,NONE
160,Atheism,261,AGAINST
161,Atheism,262,AGAINST
162,Atheism,263,AGAINST
163,Atheism,264,AGAINST
164,Atheism,265,AGAINST
165,Atheism,266,NONE
166,Atheism,267,AGAINST
167,Atheism,268,AGAINST
168,Atheism,269,AGAINST
169,Atheism,270,AGAINST
170,Atheism,271,AGAINST
171,Atheism,272,AGAINST
172,Atheism,273,NONE
173,Atheism,274,NONE
174,Atheism,275,AGAINST
175,Atheism,276,AGAINST
176,Atheism,277,FAVOR
177,Atheism,278,NONE
178,Atheism,279,NONE
179,Atheism,280,AGAINST
180,Atheism,281,NONE
181,Atheism,282,NONE
182,Atheism,283,AGAINST
183,Atheism,284,AGAINST
184,Atheism,285,NONE
185,Atheism,286,NONE
186,Atheism,287,FAVOR
187,Atheism,288,AGAINST
188,Atheism,289,AGAINST
189,Atheism,290,AGAINST
190,Atheism,291,NONE
191,Atheism,292,AGAINST
192,Atheism,293,AGAINST
193,Atheism,294,AGAINST
194,Atheism,295,AGAINST
195,Atheism,296,AGAINST
196,Atheism,297,AGAINST
197,Atheism,298,FAVOR
198,Atheism,299,AGAINST
199,Atheism,300,FAVOR
200,Atheism,301,NONE
201,Atheism,302,AGAINST
202,Atheism,303,NONE
203,Atheism,304,NONE
204,Atheism,305,NONE
205,Atheism,306,AGAINST
206,Atheism,307,NONE
207,Atheism,308,FAVOR
208,Atheism,309,AGAINST
209,Atheism,310,NONE
210,Atheism,311,AGAINST
211,Atheism,312,AGAINST
212,Atheism,313,AGAINST
213,Atheism,314,NONE
214,Atheism,315,NONE
215,Atheism,316,NONE
216,Atheism,317,NONE
217,Atheism,318,NONE
218,Atheism,319,NONE
219,Atheism,320,NONE
220,Atheism,321,NONE
221,Atheism,322,NONE
222,Atheism,323,NONE
223,Atheism,324,NONE
224,Atheism,325,FAVOR
225,Atheism,326,AGAINST
226,Atheism,327,FAVOR
227,Atheism,328,FAVOR
228,Atheism,329,AGAINST
229,Atheism,330,FAVOR
230,Atheism,331,NONE
231,Atheism,332,NONE
232,Atheism,333,FAVOR
233,Atheism,334,FAVOR
234,Atheism,335,NONE
235,Atheism,336,NONE
236,Atheism,337,NONE
237,Atheism,338,NONE
238,Atheism,339,FAVOR
239,Atheism,340,NONE
240,Atheism,341,NONE
241,Atheism,342,FAVOR
242,Atheism,343,AGAINST
243,Atheism,344,NONE
244,Atheism,345,NONE
245,Atheism,346,AGAINST
246,Atheism,347,NONE
247,Atheism,348,NONE
248,Atheism,349,FAVOR
249,Atheism,350,FAVOR
250,Atheism,351,NONE
251,Atheism,352,NONE
252,Atheism,353,FAVOR
253,Atheism,354,FAVOR
254,Atheism,355,FAVOR
255,Atheism,356,FAVOR
256,Atheism,357,NONE
257,Atheism,358,AGAINST
258,Atheism,359,AGAINST
259,Atheism,360,AGAINST
260,Atheism,361,FAVOR
261,Atheism,362,AGAINST
262,Atheism,363,NONE
263,Atheism,364,NONE
264,Atheism,365,NONE
265,Atheism,366,NONE
266,Atheism,367,AGAINST
267,Atheism,368,NONE
268,Atheism,369,NONE
269,Atheism,370,NONE
270,Atheism,371,AGAINST
271,Atheism,372,AGAINST
272,Atheism,373,AGAINST
273,Atheism,374,NONE
274,Atheism,375,FAVOR
275,Atheism,376,AGAINST
276,Atheism,377,AGAINST
277,Atheism,378,NONE
278,Atheism,379,NONE
279,Atheism,380,AGAINST
280,Atheism,381,AGAINST
281,Atheism,382,NONE
282,Atheism,383,FAVOR
283,Atheism,384,AGAINST
284,Atheism,385,NONE
285,Atheism,386,NONE
286,Atheism,387,NONE
287,Atheism,388,AGAINST
288,Atheism,389,NONE
289,Atheism,390,AGAINST
290,Atheism,391,AGAINST
291,Atheism,392,AGAINST
292,Atheism,393,AGAINST
293,Atheism,394,NONE
294,Atheism,395,FAVOR
295,Atheism,396,AGAINST
296,Atheism,397,AGAINST
297,Atheism,398,AGAINST
298,Atheism,399,AGAINST
299,Atheism,400,AGAINST
300,Atheism,401,AGAINST
301,Atheism,402,NONE
302,Atheism,403,AGAINST
303,Atheism,404,AGAINST
304,Atheism,405,AGAINST
305,Atheism,406,FAVOR
306,Atheism,407,FAVOR
307,Atheism,408,AGAINST
308,Atheism,409,FAVOR
309,Atheism,410,AGAINST
310,Atheism,411,FAVOR
311,Atheism,412,NONE
312,Atheism,413,FAVOR
313,Atheism,414,NONE
314,Atheism,415,FAVOR
315,Atheism,416,AGAINST
316,Atheism,417,FAVOR
317,Atheism,418,AGAINST
318,Atheism,419,AGAINST
319,Atheism,420,AGAINST
320,Atheism,421,AGAINST
321,Atheism,422,AGAINST
322,Atheism,423,AGAINST
323,Atheism,424,NONE
324,Atheism,425,FAVOR
325,Atheism,426,NONE
326,Atheism,427,FAVOR
327,Atheism,428,FAVOR
328,Atheism,429,NONE
329,Atheism,430,FAVOR
330,Atheism,431,FAVOR
331,Atheism,432,AGAINST
332,Atheism,433,AGAINST
333,Atheism,434,NONE
334,Atheism,435,FAVOR
335,Atheism,436,NONE
336,Atheism,437,FAVOR
337,Atheism,438,AGAINST
338,Atheism,439,FAVOR
339,Atheism,440,AGAINST
340,Atheism,441,NONE
341,Atheism,442,FAVOR
342,Atheism,443,NONE
343,Atheism,444,AGAINST
344,Atheism,445,AGAINST
345,Atheism,446,AGAINST
346,Atheism,447,AGAINST
347,Atheism,448,NONE
348,Atheism,449,NONE
349,Atheism,450,FAVOR
350,Atheism,451,AGAINST
351,Atheism,452,AGAINST
352,Atheism,453,NONE
353,Atheism,454,FAVOR
354,Atheism,455,AGAINST
355,Atheism,456,AGAINST
356,Atheism,457,AGAINST
357,Atheism,458,AGAINST
358,Atheism,459,AGAINST
359,Atheism,460,NONE
360,Atheism,461,NONE
361,Atheism,462,AGAINST
362,Atheism,463,FAVOR
363,Atheism,464,AGAINST
364,Atheism,465,FAVOR
365,Atheism,466,NONE
366,Atheism,467,FAVOR
367,Atheism,468,FAVOR
368,Atheism,469,AGAINST
369,Atheism,470,AGAINST
370,Atheism,471,FAVOR
371,Atheism,472,AGAINST
372,Atheism,473,FAVOR
373,Atheism,474,NONE
374,Atheism,475,AGAINST
375,Atheism,476,AGAINST
376,Atheism,477,FAVOR
377,Atheism,478,AGAINST
378,Atheism,479,NONE
379,Atheism,480,NONE
380,Atheism,481,AGAINST
381,Atheism,482,AGAINST
382,Atheism,483,NONE
383,Atheism,484,NONE
384,Atheism,485,NONE
385,Atheism,486,FAVOR
386,Atheism,487,FAVOR
387,Atheism,488,NONE
388,Atheism,489,AGAINST
389,Atheism,490,AGAINST
390,Atheism,491,AGAINST
391,Atheism,492,AGAINST
392,Atheism,493,AGAINST
393,Atheism,494,AGAINST
394,Atheism,495,AGAINST
395,Atheism,496,AGAINST
396,Atheism,497,AGAINST
397,Atheism,498,AGAINST
398,Atheism,499,AGAINST
399,Atheism,500,AGAINST
400,Atheism,501,AGAINST
401,Atheism,502,AGAINST
402,Atheism,503,AGAINST
403,Atheism,504,AGAINST
404,Atheism,505,AGAINST
405,Atheism,506,AGAINST
406,Atheism,507,AGAINST
407,Atheism,508,AGAINST
408,Atheism,509,AGAINST
409,Atheism,510,AGAINST
410,Atheism,511,AGAINST
411,Atheism,512,AGAINST
412,Atheism,513,AGAINST
413,Atheism,514,AGAINST
414,Atheism,515,AGAINST
415,Atheism,516,AGAINST
416,Atheism,517,AGAINST
417,Atheism,518,AGAINST
418,Atheism,519,AGAINST
419,Atheism,520,AGAINST
420,Atheism,521,AGAINST
421,Atheism,522,AGAINST
422,Atheism,523,AGAINST
423,Atheism,524,AGAINST
424,Atheism,525,AGAINST
425,Atheism,526,AGAINST
426,Atheism,527,AGAINST
427,Atheism,528,AGAINST
428,Atheism,529,AGAINST
429,Atheism,530,AGAINST
430,Atheism,531,AGAINST
431,Atheism,532,AGAINST
432,Atheism,533,AGAINST
433,Atheism,534,AGAINST
434,Atheism,535,AGAINST
435,Atheism,536,AGAINST
436,Atheism,537,AGAINST
437,Atheism,538,AGAINST
438,Atheism,539,AGAINST
439,Atheism,540,AGAINST
440,Atheism,541,AGAINST
441,Atheism,542,AGAINST
442,Atheism,543,AGAINST
443,Atheism,544,AGAINST
444,Atheism,545,AGAINST
445,Atheism,546,AGAINST
446,Atheism,547,AGAINST
447,Atheism,548,AGAINST
448,Atheism,549,AGAINST
449,Atheism,550,AGAINST
450,Atheism,551,AGAINST
451,Atheism,552,AGAINST
452,Atheism,553,AGAINST
453,Atheism,554,AGAINST
454,Atheism,555,AGAINST
455,Atheism,556,AGAINST
456,Atheism,557,AGAINST
457,Atheism,558,AGAINST
458,Atheism,559,AGAINST
459,Atheism,560,AGAINST
460,Atheism,561,AGAINST
461,Atheism,562,AGAINST
462,Atheism,563,AGAINST
463,Atheism,564,AGAINST
464,Atheism,565,AGAINST
465,Atheism,566,AGAINST
466,Atheism,567,AGAINST
467,Atheism,568,AGAINST
468,Atheism,569,AGAINST
469,Atheism,570,AGAINST
470,Atheism,571,AGAINST
471,Atheism,572,AGAINST
472,Atheism,573,AGAINST
473,Atheism,574,AGAINST
474,Atheism,575,AGAINST
475,Atheism,576,AGAINST
476,Atheism,577,AGAINST
477,Atheism,578,AGAINST
478,Atheism,579,FAVOR
479,Atheism,580,AGAINST
